PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Xylene,AQI,month,day_of_week,day_of_year,AQI_lag_1,AQI_lag_7,PM25_lag_1,City_Chennai,City_Delhi,City_Kolkata,City_Mumbai,season_Post-Monsoon,season_Summer,season_Winter
409.8,237.9,71.8,41.6,101.0,31.3,4.41,6.1,66.2,18.02,20.92,4.45,487.3,1,3,8,421.8,489.7,122.9,False,False,False,False,False,False,True
77.8,270.7,110.0,66.6,194.6,36.5,2.06,73.2,159.6,8.42,12.0,5.81,8.0,1,4,9,487.3,243.3,409.8,False,False,False,False,False,False,True
449.3,460.8,0.7,2.8,51.5,36.7,8.78,26.9,76.1,12.05,26.19,9.05,275.2,1,5,10,8.0,148.5,77.8,False,False,False,False,False,False,True
470.4,237.2,9.3,49.5,137.8,43.0,8.68,92.9,158.0,7.26,23.36,7.0,418.5,1,6,11,275.2,423.3,449.3,False,False,False,False,False,False,True
138.2,431.8,119.0,46.9,180.4,22.2,6.57,70.2,128.9,2.81,12.72,4.43,69.7,1,0,12,418.5,119.5,470.4,False,False,False,False,False,False,True
146.7,59.5,48.2,32.7,222.4,14.6,1.0,50.5,101.1,2.43,14.68,9.41,100.7,1,1,13,69.7,120.7,138.2,False,False,False,False,False,False,True
487.0,70.9,173.6,53.5,249.14799999999997,5.6,6.43,75.5,24.0,10.78,8.46,2.15,374.0,1,2,14,100.7,421.8,146.7,False,False,False,False,False,False,True
415.9,429.8,76.9,140.1,147.9,29.8,1.46,30.9,135.4,12.97,19.4,1.14,499.4,1,3,15,374.0,487.3,487.0,False,False,False,False,False,False,True
198.2,108.9,139.3,102.7,238.4,7.9,9.48,8.2,59.1,16.69,24.27,3.22,261.6,1,4,16,499.4,8.0,415.9,False,False,False,False,False,False,True
368.9,476.1,131.9,90.5,186.7,8.4,6.73,41.4,5.3,7.82,8.19,5.56,3.8,1,5,17,261.6,275.2,198.2,False,False,False,False,False,False,True
14.0,456.9,88.4,112.2,166.8,16.0,8.68,11.9,27.3,1.01,9.64,6.48,104.3,1,6,18,3.8,418.5,368.9,False,False,False,False,False,False,True
306.8,78.0,43.2,115.6,95.1,30.5,3.47,0.8,140.9,5.34,9.64,9.64,273.1,1,0,19,104.3,69.7,14.0,False,False,False,False,False,False,True
465.8,185.2,172.6,75.5,71.7,2.2,6.13,49.3,127.4,9.68,22.04,5.16,38.1,1,1,20,273.1,100.7,306.8,False,False,False,False,False,False,True
21.2,271.6,43.0,46.7,91.6,20.2,1.16,40.6,183.6,9.56,28.44,5.43,384.3,1,2,21,38.1,374.0,465.8,False,False,False,False,False,False,True
180.2,53.0,90.6,132.1,226.1,9.3,6.29,2.7,125.7,11.67,13.21,0.08,22.1,1,3,22,384.3,499.4,21.2,False,False,False,False,False,False,True
469.0,122.7,156.3,104.5,94.6,34.2,6.35,84.1,151.6,12.98,11.71,9.13,286.9,1,4,23,22.1,261.6,180.2,False,False,False,False,False,False,True
172.9,579.7,80.7,21.4,93.2,6.2,6.28,50.8,159.2,2.45,19.54,0.63,105.6,1,5,24,286.9,3.8,469.0,False,False,False,False,False,False,True
